共享单车编号,纬度,经度,使用次数,最后使用时间
bike_1,31.18596377978187,121.4825914863924,52,2025-04-30 09:16:45.190041
bike_2,31.185787250331025,121.47778680116348,39,2025-05-03 05:26:51.240685
bike_3,31.187817796763238,121.47980103185344,37,2025-04-29 19:51:12.279047
bike_4,31.194425010354184,121.47121335704267,51,2025-04-26 16:20:04.635383
bike_5,31.190058240612668,121.4822630924819,39,2025-05-01 13:38:17.523838
bike_6,31.181048577964713,121.47555109343236,60,2025-05-01 12:01:40.226796
bike_7,31.18331228750899,121.4785264317003,55,2025-04-28 08:45:05.883024
bike_8,31.220570281875634,121.44690195718287,26,2025-04-27 10:13:24.466285
bike_9,31.20859077312993,121.45659627967791,28,2025-05-01 04:35:38.545093
bike_10,31.214079623034234,121.45516067391095,43,2025-04-27 06:10:23.151545
bike_11,31.21094239019509,121.45071902607384,39,2025-04-29 12:55:48.969165
bike_12,31.220109516897146,121.45091891460343,45,2025-04-29 19:24:20.603045
bike_13,31.21413834762759,121.4507937243616,15,2025-04-29 21:47:05.864239
bike_14,31.221343997664363,121.4499996853598,33,2025-04-30 14:16:49.826403
bike_15,31.212185247934176,121.45481660121784,27,2025-05-02 08:08:22.783724
bike_16,31.21399719560747,121.45567505538749,33,2025-04-27 20:12:28.546146
bike_17,31.222990850245417,121.45197581126875,26,2025-05-02 16:44:10.014301
bike_18,31.219497167091536,121.44913750403332,15,2025-04-27 17:47:54.087825
bike_19,31.20285565933985,121.45282563451843,26,2025-05-01 02:30:19.762590
bike_20,31.21468585529532,121.45029161624065,34,2025-04-29 20:04:04.850225
bike_21,31.21141625553533,121.45811783849229,29,2025-05-01 08:40:38.216478
bike_22,31.207764016467717,121.4513991958487,54,2025-05-03 02:34:35.069499
bike_23,31.218520310074833,121.44980290157528,24,2025-04-30 00:59:48.388839
bike_24,31.214024048475967,121.45681215887156,37,2025-05-01 19:18:06.231648
bike_25,31.21212240036092,121.45801812339364,44,2025-04-29 17:12:52.889327
bike_26,31.223093168345127,121.44614536317333,24,2025-05-03 04:22:28.613640
bike_27,31.22466456434606,121.45546599187716,30,2025-05-01 21:10:24.774412
bike_28,31.214303843093504,121.44578652623035,34,2025-04-28 15:08:50.275248
bike_29,31.219234280657474,121.45029335791466,26,2025-05-02 16:09:40.633606
bike_30,31.211703977708524,121.45516563088583,17,2025-04-27 17:55:53.432570
bike_31,31.22295097219975,121.46379385838033,26,2025-04-27 04:29:33.328842
bike_32,31.21510220599219,121.45239745877022,37,2025-05-01 02:16:04.201626
bike_33,31.22262852364899,121.44676231401874,36,2025-05-02 21:05:21.568423
bike_34,31.222216893562567,121.45256340716547,22,2025-05-03 10:22:28.173342
bike_35,31.217005704637625,121.44501377033718,40,2025-05-01 21:32:51.340890
bike_36,31.222757067885237,121.44622463644785,37,2025-05-01 04:33:27.681805
bike_37,31.21998142637732,121.457439992411,34,2025-04-29 11:44:56.375955
bike_38,31.22083421750248,121.44987110421897,22,2025-05-01 14:40:15.027278
bike_39,31.220524907318623,121.44990007225802,42,2025-04-29 22:46:54.505342
bike_40,31.218821339596126,121.44977476063279,57,2025-05-02 02:25:26.460232
bike_41,31.211316461447336,121.45598394480305,30,2025-05-02 05:28:12.880347
bike_42,31.21544518049218,121.44998073087235,37,2025-05-03 08:37:41.257575
bike_43,31.215510877633257,121.45479974888872,25,2025-04-30 18:31:42.312994
bike_44,31.220016788552186,121.44886547003864,38,2025-05-02 06:45:00.206056
bike_45,31.219682085779485,121.45156043915674,36,2025-05-02 18:53:57.075819
bike_46,31.22494622693918,121.45138908839121,18,2025-04-27 07:49:34.185350
bike_47,31.22049377536597,121.45642903751947,20,2025-05-01 09:54:05.071841
bike_48,31.223041562598528,121.45367322113502,35,2025-04-27 09:33:24.080975
bike_49,31.216251198649996,121.45545761474304,44,2025-04-28 22:01:51.233918
bike_50,31.21616807144137,121.45586805361644,36,2025-04-27 05:42:14.188521
bike_51,31.210368712719365,121.44359420283294,31,2025-05-03 05:11:11.532060
bike_52,31.21185189498852,121.46267133763234,11,2025-05-01 11:05:09.269965
bike_53,31.214058880550716,121.45149903836169,21,2025-04-29 19:29:16.695571
bike_54,31.214457453340692,121.44752152625269,36,2025-04-29 02:34:45.259477
bike_55,31.22807671936463,121.46031511359058,43,2025-04-26 15:16:54.081593
bike_56,31.220275369465693,121.4409723318657,31,2025-04-27 21:38:00.808656
bike_57,31.21390904585657,121.44275238300352,22,2025-05-02 06:06:41.014473
bike_58,31.22443804823071,121.44872331824318,23,2025-04-29 14:57:17.132438
bike_59,31.220858448028103,121.45743007907585,33,2025-04-29 04:27:20.711929
bike_60,31.224388294510064,121.44350119496922,25,2025-04-30 23:25:17.143204
bike_61,31.214944579771633,121.46045807320134,29,2025-04-30 03:40:53.692284
bike_62,31.211468581294863,121.44983520404202,17,2025-04-30 16:16:33.755888
bike_63,31.223846877836962,121.45771436383474,28,2025-04-29 02:04:49.342228
bike_64,31.213803215721395,121.45691386355976,30,2025-04-28 20:33:51.510849
bike_65,31.215119251948508,121.45140252783457,36,2025-04-29 10:32:42.636473
bike_66,31.21676201371679,121.45902812887971,17,2025-04-30 06:14:18.071083
bike_67,31.219565782141498,121.45145290687718,34,2025-04-27 03:07:33.350997
bike_68,31.21558905013485,121.45250300413765,23,2025-05-02 23:15:54.524663
bike_69,31.2205564919136,121.44877539605575,23,2025-04-28 14:10:22.781640
bike_70,31.214354096373086,121.45559604417615,33,2025-04-28 07:43:58.451959
bike_71,31.21298303529134,121.45548181804874,35,2025-04-27 19:40:35.768943
bike_72,31.21258089978803,121.45099353682916,31,2025-04-30 20:43:32.880965
bike_73,31.21278552593676,121.45690773138772,45,2025-04-28 04:27:41.889006
bike_74,31.213933950200296,121.45762543883475,30,2025-05-01 05:27:23.420549
bike_75,31.214935415588318,121.45536791835433,27,2025-04-26 19:36:51.941580
bike_76,31.213066066163126,121.45158302462394,35,2025-04-29 01:04:34.273332
bike_77,31.20717131407699,121.44886417724003,42,2025-04-28 04:49:33.304845
bike_78,31.2101482372316,121.45421864388425,36,2025-05-02 19:54:07.969125
bike_79,31.212635806687206,121.45105395956776,9,2025-04-27 06:05:25.930517
bike_80,31.2249836971605,121.44697055881502,26,2025-05-02 11:12:08.050943
bike_81,31.219200746285043,121.45788744873948,25,2025-04-27 17:09:08.456390
bike_82,31.217150653215302,121.44874285327089,32,2025-05-02 20:58:19.570770
bike_83,31.22190331126971,121.4487111361461,23,2025-05-02 21:11:48.186790
bike_84,31.222932096408908,121.45265258262697,44,2025-04-30 11:57:19.949056
bike_85,31.214619918367287,121.45107523065403,23,2025-05-02 15:15:48.344490
bike_86,31.215890562149987,121.45271163760067,21,2025-04-28 05:53:21.477269
bike_87,31.21859497199667,121.45154240982964,15,2025-04-27 09:18:00.667520
bike_88,31.21191085501008,121.45221850720803,30,2025-05-02 22:49:37.257897
bike_89,31.218499676516306,121.45136979768867,52,2025-04-28 14:20:20.613151
bike_90,31.218162673002915,121.46186395708654,22,2025-04-29 09:03:36.124398
bike_91,31.21557687989952,121.45597959043138,15,2025-05-02 03:37:13.742848
bike_92,31.220051571632236,121.44047856617743,24,2025-04-29 09:10:14.203802
bike_93,31.206568006992345,121.452910427093,35,2025-05-02 07:54:18.695333
bike_94,31.220984158677734,121.44449687876389,48,2025-04-26 22:31:35.233516
bike_95,31.215763483998707,121.44968693885404,32,2025-04-30 19:14:06.630159
bike_96,31.210644810234832,121.45052534557271,42,2025-04-30 13:32:06.585235
bike_97,31.21558839625722,121.45082062000749,32,2025-04-26 11:16:20.171446
bike_98,31.217643281029325,121.45112426329757,30,2025-04-28 02:02:05.831548
bike_99,31.214566421036583,121.4431024274363,16,2025-04-28 18:22:44.846320
bike_100,31.218808998627544,121.4434274739453,42,2025-05-02 16:08:49.788487
bike_101,31.21734320800808,121.46133503940463,31,2025-04-27 12:03:30.048856
bike_102,31.22388785385133,121.46140178442339,47,2025-04-27 07:56:49.321361
bike_103,31.211029623341357,121.44975257260934,44,2025-05-01 23:26:48.695368
bike_104,31.220520665420068,121.45639016723322,12,2025-04-30 17:19:40.221773
bike_105,31.220561857378897,121.45041265569377,32,2025-04-27 23:34:16.078143
bike_106,31.205277210437014,121.45924112252683,16,2025-04-27 10:20:51.849199
bike_107,31.216057948284494,121.45508007194746,27,2025-04-26 14:34:45.718716
bike_108,31.20780807359669,121.44076083429879,29,2025-04-29 00:48:48.583558
bike_109,31.21551698304491,121.4507215265252,18,2025-05-01 01:09:09.847295
bike_110,31.218569905952283,121.45078464931261,39,2025-04-28 19:04:30.499991
bike_111,31.213898122224215,121.44871968805914,21,2025-05-02 20:19:22.127833
bike_112,31.2133364121115,121.45056289299922,19,2025-05-02 00:33:38.787357
bike_113,31.21641890959279,121.43968403234878,28,2025-04-27 20:55:26.010989
bike_114,31.216342209986376,121.44759941725901,32,2025-04-27 08:27:49.068389
bike_115,31.22038831090067,121.4479962261863,22,2025-05-02 00:03:14.949495
bike_116,31.219029061585417,121.44972278631323,6,2025-04-29 03:21:28.934427
bike_117,31.212998918664223,121.44013739451778,38,2025-04-27 04:49:48.324816
bike_118,31.211191860348684,121.46649244884127,41,2025-05-02 17:13:11.787791
bike_119,31.223750476628634,121.43881430951467,21,2025-04-30 19:50:27.958403
bike_120,31.21160883015873,121.44786518037778,19,2025-05-02 15:06:17.282925
bike_121,31.217222653240324,121.45565086541083,40,2025-04-29 23:29:11.578337
bike_122,31.219399710884343,121.45148488633723,21,2025-04-29 08:38:07.912070
bike_123,31.2139290167833,121.4590082357138,26,2025-04-30 22:13:37.247387
bike_124,31.21278952973615,121.45572893253664,49,2025-04-30 23:24:02.120426
bike_125,31.21626999423575,121.45173487219166,26,2025-05-02 09:32:40.213867
bike_126,31.214939072740748,121.44784483195338,25,2025-05-02 03:52:53.685100
bike_127,31.211988620722572,121.44837219880232,4,2025-04-26 14:11:06.833740
bike_128,31.21955475058544,121.44990330456466,20,2025-04-26 16:21:13.703201
bike_129,31.217318161501467,121.45246593181467,22,2025-04-28 18:53:34.001836
bike_130,31.213468638066566,121.45159470632613,37,2025-04-29 11:11:38.066655
bike_131,31.22079660027961,121.44728937022035,24,2025-04-30 11:45:05.463171
bike_132,31.211121305959523,121.44296033260957,30,2025-05-02 15:55:56.109644
bike_133,31.20851008691182,121.45508672637187,18,2025-04-30 02:23:35.887644
bike_134,31.217470252906182,121.44783886425998,30,2025-05-01 02:40:31.153794
bike_135,31.213121696183183,121.45489930027216,41,2025-04-29 07:09:27.110926
bike_136,31.219989730324173,121.43873982229834,22,2025-05-01 00:36:53.893641
bike_137,31.216980185999617,121.45154501439471,34,2025-04-27 13:47:51.377063
bike_138,31.224032210053043,121.45278605810935,25,2025-05-02 01:21:05.218081
bike_139,31.214539147024414,121.44950275969364,35,2025-04-29 19:20:59.452346
bike_140,31.22130614421307,121.45545366831614,26,2025-04-30 17:17:38.620277
bike_141,31.214880926572295,121.4576033069648,23,2025-05-01 08:35:36.082952
bike_142,31.20497989003954,121.45119013669493,46,2025-05-01 20:12:47.183221
bike_143,31.214935646247515,121.45521356967771,38,2025-04-29 02:21:10.281317
bike_144,31.216609641807114,121.44370511357009,41,2025-05-02 11:49:37.671699
bike_145,31.218678430159347,121.45733468007514,39,2025-04-27 22:44:25.827897
bike_146,31.216541813933432,121.44880124030128,21,2025-05-01 17:28:43.189486
bike_147,31.223680396139965,121.45310821719922,26,2025-04-27 17:15:13.003380
bike_148,31.220277233000594,121.44974867012252,20,2025-04-27 21:16:45.184023
bike_149,31.213994499865418,121.44833481593224,39,2025-04-28 23:30:43.332877
bike_150,31.220999326815267,121.4531652193151,48,2025-05-01 16:55:21.350419
bike_151,31.210839612563433,121.44853347292413,31,2025-04-30 15:52:54.484387
bike_152,31.220309366569417,121.45436987308075,29,2025-05-02 09:27:42.492641
bike_153,31.217034193786695,121.46431590271598,27,2025-04-27 08:42:28.881117
bike_154,31.21636611675242,121.45164501877201,37,2025-04-28 14:11:15.002965
bike_155,31.21721584476258,121.45330862812555,32,2025-04-29 05:17:48.161194
bike_156,31.210432767436885,121.45906397793217,24,2025-04-26 22:15:04.250714
bike_157,31.215680401257387,121.45500341113707,55,2025-04-30 16:11:32.585945
bike_158,31.218751302913205,121.45030800530608,25,2025-04-27 20:20:43.655534
bike_159,31.22039277202282,121.43949435792909,27,2025-05-01 00:56:12.124739
bike_160,31.219272239645072,121.44941912130253,46,2025-05-01 21:29:28.424332
bike_161,31.210504444538934,121.45035286146533,29,2025-04-30 12:50:43.309386
bike_162,31.209535814351657,121.44994337214794,36,2025-04-29 09:41:09.586998
bike_163,31.21104557872494,121.45368139134223,22,2025-04-26 11:44:59.873730
bike_164,31.21530886128742,121.46396484381523,30,2025-05-02 23:57:21.567721
bike_165,31.212218821051493,121.45446944714271,28,2025-05-02 03:11:21.487789
